"","subjName","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25"
"19","zarxqen","5e07i","-0.84685","1.52263","504","0.35227","9521","1.14324","0.4382","0.22681","2kbg","-0.87796","-0.32767","dm10","y","1.23419","a","-0.55311","547i","1.00921","z1","40h","689","185","1.81668","s44"
"20","cxiedgk","87339","0.49909","0.72966","78b","0.5264","vdh0"," ","1.73907","0.06067","f72x","0.55903","1.73369","c2r5","4tn","-0.45132","w28y5","0.96508","35wl","0.48179","90","79t","4x3","3qe","1.02125","bh1"
"21","rqcsbey","90y81","-0.93313","-1.79183","km5","-0.31376","y67u","s","s","-0.5819","2j38","-1.51726","-0.59805","4xr2","1yj","0.15279","97b8a","1.39329","25n0","0.02224","95","q5a","k99","566","-0.0236","1g1"
"22","pqbgdec","t9d7u","0.23567","1.14723","99m","0.47898","75u2","0.26557","-1.72288","-0.30222","u2yh","0.62794"," ","6iu9","8c9","0.42949","24v9r","-0.37562","f95c","-0.72851","fr","2b4","3e0","7po","1.165","5g8"
"23","yecrubq","0k2q5","0.88794","0.07288","139","0.58614","n109","0.12549","-0.10438","0.52933","7lg8","-0.39983","0.60485","k891","35r","0.17174","c31x2","0.50993","kh6f","0.66875","31","pv1","al4","0l9",".","t32"
"24","ukgjtad","dbag3","0.94759","0.59053","7fs","-0.30222","xlah","-0.32833","0.21029","0.67877","5xdk","0.67176","2.42527","6wcu","n74","-0.34781",".","-0.39464","umn9","1.04913","7z","4nh","i41","16x","0.78008"," "
"25","emltusy","75826","0.41435","0.84336","2h9","0.21755","n680","-1.89113","-1.10304","0.03317","49pz","-1.0017","-1.72813","t23c","vx5","0.3685","0bzp0","n","xe13","0.58793","cq","o4b","p1f","u8p","1.32687","."
"26","cgsiwzt","p3jem","0.37523","-1.90804","8vq","-0.7856","e1io","-1.05633","-3.2651","-1.62739","49e1","-0.76751","-0.66484"," ","p48","0.64014","1c9l5","-1.33353","0sqg","-0.78316","86","20e"," ","21g","-0.77002","161"
"27","sexzhuw","720ix","0.36435","-0.38182","i3z","n","9zx6","-1.46758","-0.77685","0.37788","i","-1.42485","-2.11256","6il3","s6m","-0.835","8woe2",".","5599","-0.66654","kl","4nl","7eo","9ev",".","8qf"
"28","hkrutan","d6jgf","1.75335","-0.4092","z9s"," ","u96w","0.2329","0.49945","-0.41268","1390"," ","-0.75749","75l5","hnm","-0.22048","949bc","0.00642","0ixa","0.48451","54","h29","260","93o","0.53116","g8o"
"29","wplnxmo","rc8j8","0.92491","0.10829","z3g","0.54858","0j68","1.64079","1.42356","0.88641","77tw","0.18137","0.25478","24gq","q03","-0.23227","t9hg0","1.10794","809n","0.32457","ps","r49","kfj","4i7","1.77635","535"
"30","ztdljgc","539g2","0.90341","1.11577","cn7","-0.48315","2s8e","k","0.30685","-0.56461","9l1k","0.91128","-0.30991","m3b3","d4i","-0.98977","9w67c","-1.22112","95s3","0.25524","4g","tc8","2v6","vp0","0.35029","p0z"
"31","evfboxp","6lx3c","-0.19491","-0.99076","3yv","-0.25372","imj5","-0.48584",".","-0.50825","b","-0.11747","-0.54012","1xd9","k0t","-1.30333","c42zo","-1.11275","a864","0.00247","0a","a41","43m","9ka","-0.6896","6i7"
"32","onamcdl","o4gs7","0.52963"," ","v38","o","e2hq",".","-0.70141","l","vj80","0.39445","-0.47055","r562","y1i","-0.29578","9os8d","-0.84864","m20w","-0.34666","2h","or4","32z","792","-0.04354","x3u"
"33","oquixsy","x607b","-0.27321","-1.13962","coz","0.52727","d43o","0.78253","-0.13251","0.21604","gn5o","-0.97345","-0.0423","y168","2t8","0.7623","316r2","-0.36938","0429","0.24627","x4","p03","5rt","364","-1.38862","2h5"
"34","gziftmx","2803v","-0.35613","-0.93919","6y6","-1.30547","17tc","0.40068",".","-0.19802","op8z","w","0.43817","96te","9d2","-1.41913","2ld4m"," ","8md0","-1.99233","13","67m","6vt","u1m","0.24828","h55"
"35","jxlamyb","f86pg","0.40848","1.00758"," ","-1.66987","lm26","-1.38112","0.99599","-0.81704","p9g4"," ","-0.36104","mhx4","o5h","-0.19042","b320f","0.78348","5h6i","0.95423","5r","f8i","on7","18b","1.39672","9f0"
"36","lgcarxt"," ","0.89038","-1.57505","mg9","-0.28794","46eg","-0.00855","-0.80026","0.06841","li22","-1.67632","0.04375","dkhc","922","-0.57965","gfuz8","0.23462","y1wn","-0.39559","ng","s","z32","ov5","-0.29672","bn9"
"37","vtekdfy","mlxp3","1.24971","-1.45313","23t","0.55535","z76h","0.01637","-1.28161","-0.28744","0t3n","0.8152","-0.41474","8pma","38n","-0.88547"," ","0.03025","jda2","-0.06152","3a","y38","m9t","63w","0.78722","438"
"38","oaeskun",".","-1.09936","0.62224","v05","0.68987","c7nw","0.79097","0.61154","0.65654","bngf","1.73369",".","ukw9","152","-0.77056","673x9","0.42427","i040","-2.00703","97","tn2","r","373","0.7403","bfy"
"39","wraycjf","51b9e","-0.25226","1.78705","e82","-0.15443","nis0","-0.16593","1.4474","-0.34652","139s","0.02393","0.48149","s597","958","-0.69248","q3oug","-0.225","f8a7","0.40457","c3","j48","45i","42n","1.68938","uw6"
"40","pjtcbwk","f65o3","0.31041","0.92558","39l","0.30828","o61i","0.83921","0.55813","0.65197","i8l2","0.47274","0.77846","da3y","0k5","0.60916","517ct","0.22601","3o7c","0.85043","qf","72b","rh9","m2y","0.14153","595"
"41","azewbol","8o5ev","1.3324","-1.73206","m8v","-0.26273","uwc8","0.4905","0.52127","-0.43457","3u5g","0.45721","-0.49134","mtq6","z9v","-0.04361","o09l2","0.43081","30t4","-0.40168","63","1dp","6yd","g30","-0.19176","u0t"
"42","wybshtd"," ","-0.67248","-0.40924","2ev","0.43714","31v6","-1.67012","-0.51063","-2.0921","0381","0.82744","-0.80527","0069","10k","-0.15076"," ","0.99342","v479","-1.09562","vr","d77","0ia","zgh","-0.85327","a2n"
"43","mrjozld","b9no7","-2.08899","-0.50692","7c6","0.2114","r5v7","-0.05166","0.77711","-0.51167","7877","0.67913","0.07463","39j6","258","-0.16019","15uxj","-0.10498","540a","0.3616","ta","8h2","zme","a3r","-0.35408","v7m"
"44","ukntmlc","85f3t","0.17975","-0.23953","ik3","-0.61708","36rf","-0.08376","0.01186","1.09973","3dcf","-0.98866",".","5b39","00d","-0.25609","6j7b5","0.56467","258h","-0.58709","s4","b3j","7wo","46j","x","am4"
"45","slwagim","87d60","0.42903","0.18895","48x","-1.01604","z21a","-0.63791","0.32806","-0.5876","b6s3","0.61566","1.18722","54jy","k93","0.90095","v4d5a","-1.05482","b9vc","0.43623","bh","0e5"," ","ds9","-0.16006","0uw"
"46","xwjlncs","13h96","-1.33265","-0.37688","o80","-0.63691","k1a2","-1.41234","0.44615","-1.6148","o3zq","-1.09868","0.69265","f08j","euv","-0.24162","30l4n","-1.20439","ws25","0.3067","r6","f80","2j1","681","-2.11001","q62"
"47","kzvqetn","f8wg5","-1.61193","0.53221","w91"," ","41e1","0.36752","-0.12516","0.43701","ur97","0.34617","0.38628"," "," ","-0.33148","6a132","0.49717","2s96","-0.30209","2b","rf8","784","wdy","0.01924","05j"
"48","djgayix","439z5","-0.70698","-0.8561","3i2","0.49297","m013","-0.8059","1.46914","0.65939","5jz0","-0.21833","1.66113","81ui","8jo","0.53693","pz085","-1.71569","dxc7","-1.17059","hv","u88","r3o","ij4","-1.03577","267"
"49","wbrzeaq","pt1yd","-0.35441","1.01265","j0z","-0.92015","781q","-0.89243","-0.7845","-0.90157","287r","0.51872","0.11099","h230","i4n","-0.58609","pjymz","1.40593","07qr","0.57751","54","v","ax2","8j8","-1.15578","78l"
"50","rwqzuab","76r0m","0.17905","-0.10134","1nk","0.29587","27sa","-0.35909","0.4537","-0.17626","z1i4","0.72561","0.57007"," ","240","1.18552",".","1.63763","09e3","1.54541","65","6m3","gy2","y80","1.22898","1q0"
"51","gcknqyd","kf845","-0.3909","-0.5962","5z9","0.2088","q85k","0.57339",".","-0.22492","6wqb","1.1461","-0.07009","71kr","2sp","-1.25543","7249a","-0.31064","2vd7","0.75238","i8","677","b98","25s","0.52642","d23"
"52","fvrzbgn","0tr46","-0.80874","-0.91243","zt7","-0.14796","f588","-1.26232","-0.63976","-0.4868","e","-0.65394","-0.98454","4m60","593","-0.73407","5m607","-1.38018","283i","-0.30923","1s","8l6","g29","86x","-0.06037","8im"
"53","sngfpue","8g5io","-0.98325","-0.82356","0zn","-0.45321","035k","-1.98259","-1.64823","1.06924","d","-0.40117","-1.78629","lbv1","mkq","-0.0806",".","-0.36865","7n23","0.26809","nh","2c1","8y4","2cs","-0.85341","sni"
"54","zidujpl","9ncak","0.16254","1.30533","l69","2.46718","qm19","0.01154","0.90909","0.20748","8u29","1.66968","2.11168","22b9","0sp","2.29822","20154","1.19529","61ty","0.73891","38","0b3","1g8","7vn","0.13842","3zm"
"55","kxcywfv","8k4h9","-0.57191","0.43745","9l6","-0.18082","kouj","1.17447","-1.02851","2.36619","9s4t","0.10679","-0.33106","1l3m","350","0.15288","17558","-1.43888","3u7r","0.27898","85","y6f","828","8j8","-0.04879","f5h"
"56","dprzsle","803w6","-0.72607","0.31555","uw8","-1.49579","1icf","-0.18591","0.12178","-1.09633","9866","-0.61519","0.38254","8fx6","xj1","-1.05051","hka9i","-1.8683",".","-0.35322","qi","sz5","913","182","-0.00503","5sh"
"57","jldznhc","o4x1i","0.01191","0.14641"," ","0.9467","m9or","-1.11902","-0.71409","-0.66218","75h8","-0.50032","-0.45818","2cmz"," ","-0.06745","9pk3i","1.25527","60pg","-0.5438","64","u64","763","nw7","0.91926","q8i"
"58","symrtau"," ","-0.67849","-0.85137","4xc","-0.94801","5s2c","-2.19501","-1.12683","-1.05972","592a","1.69344","-0.4217","52m8","7tk","-1.66561","p2l3o","0.19516","6rn4","-0.61564","39","77n",".","32c","0.17761","p79"
"59","csajpyx","271v4","-0.23038","-1.27953","59r","-0.13286","89ou","0.24914","-1.08881","0.44572","d49y","0.12347","0.9852","1331","51j","0.04068","qf1l2","0.12368","3r2o","-1.1907","nq","7a6","98r","td8","0.18192","sj5"
"60","jxrehdq","mpw71","1.29625","2.19372",".","0.0337","yvqp","0.80152","2.13324","-1.36135","9gd1","0.69894","0.17497","7737","87n","1.92526","ehfa4","-0.00398","g1es","1.61436","n4","l9e","91e","o76","0.59982","7x6"
"61","toiacmv","23ao6","-0.089","0.69388","6yl","-0.14438","5rw6","0.23249","0.72452","-0.50305","t8am","-1.3026","-0.85542"," ","b","-0.57221",".","-0.0834","3m16","0.22565","v1","a1k","187","m94","0.0297","6v0"
"62","vywjhbt","347a7","0.55095","-1.71661","jbc","-0.1174","4qb5","0.2673","-0.65842","-0.06179","po4h","-0.70338","0.24091","1885","241"," ","u748q"," ","l94i","-0.67051","51","0a4","446","zi4","-1.91835","jsp"
"63","mbjizky","5taf2","0.33458","d","d44","-0.60352","02te","0.01231","0.14954","0.29081",".","-0.45196"," ","du82","f5q","-1.7027","6b9nh","-0.67763","idqw","0.11106","3z","e10","pd0","d85","1.6268","xn3"
"64","irjbxse","t5a1y","-0.68079","-0.8187","go9","-0.43607","lhn5","-1.48036","-1.37689","-1.76292","180u","0.12569","-1.16068","r7yl","4d4","-0.22512","6eumk","-0.05215","b84u","-1.61428","4c","548","xvy","505","-0.14411","w04"
"65","frzvxky","9q3ki","1.20626","0.47974","2d8","-0.63674","4n9e","0.33777","-0.46057","0.67495","alxf","-0.51078","-0.71649","tfe5","2tr","-1.09278","b7093","0.06538","4ib3"," ","56","568","hsb","sy6","k","49a"
"66","hcdsyrf","98m8h","0.37462","1.59849","01l","0.1042","1b7a","0.99853","0.42009","1.15616","j277","1.31812","-0.54149","r9lw","651","0.84722","43018","1.29214","q562","2.35139","4c","85p","8rl","d1f","2.03232","q26"
"67","vznrbtx","di6e9","0.88684","-0.5603","ym5","-0.27958","89qf","-0.7449","1.12282","0.39559","x9nr","0.55229","0.15122","jmfs","7eq","e","g58tv","-0.12156","gcpx","0.25357","41","i",".","7n8","-0.81157","61u"
"68","cuiowax","ejng1","q","0.36197","dm5","2.1468","h305","0.77599","1.40429","0.14904","397a","-1.25458","0.5196","lr8z","t","1.50783","a60k4","2.05312","i40r","-0.09864","23","0g7","fpk","pvz","0.95767","1zo"
"69","wsrxcit","3ncg7","0.66896","-0.12819","f14","-0.48106","tsa8","-0.53384","0.23044","t","cegb","1.32098","0.58279","yq76","5r6","-0.13698","2s3mc","0.07086","6zfm","0.03074","6z","932","t74","cg9","0.55831","7kb"
"70","zodpqsh","98fwm","-0.90451","-0.38842","xn5","-0.4503","i99d","-0.03348","0.0167","-0.65799","647w","0.18008","0.47099","3sv3","z5j","-1.2774","37f51","0.62417","7zk0","-0.42095","3e","n6z","0us","eat","-0.54756","f5t"
"71","bjpocrh","5e7j1","0.90407","2.25614","690","2.00401","yi5n","1.98142","-0.41559","1.13023","5j0p","-0.92635","-0.4302","qfs0","oim","0.312","5rk41","0.24197","4is3","1.47413","39","092","f5l","458","1.36357","g5f"
"72","xpykuzn","b6f18","0.09369","-0.94179","839","0.47037","9m6s","0.69363","0.14309","-1.1276",".","-0.42846","1.08531","co91","5ib","l","3h8v4","0.24138","4w5g","-1.40776","35","6t8","43m","271","-0.26748","91v"
"73","uktefah","ib1s8","-0.45286","1.00988","9hr","-0.25685"," ","1.02802","0.91776","0.75399","5tfw","-0.69291","1.53589","w9x2","71q"," ","0cz2v","0.24452","r7j0","-0.45904",".","2la","ch1","1wm","0.72957","rxo"
"74","wdozqac","4bw63","-0.11305","-0.0393","h94","-0.94333","5qsv","-0.01766","1.63217","-0.50062","z29m","0.27899","1.20871","996k","gv8","0.65638","wu811","0.387","0n46","0.50613","id","uo5","61y","672","0.2197","v9b"
"75","jqufghn","fn269","-0.32803","-1.84284","tog","-0.06258","d4os","-0.73634","-0.96511","y","185d","-0.41813","0.23925","9x3k","or5","-0.74946","l43a9","-0.19351","7122"," ","3m","6g9","419","x83","-1.4452","094"
"76","wanuysh","d86x7","-0.14721","-1.31351","8r0","0.60292","j3e2","0.32798","0.05538","-0.95849","vi0m","-0.31198","-0.04481","2033","qdi","-0.11232","zb95m","-0.40881","o3vu","-0.66668","6m","ph1","4s2","3sz","-0.91788","806"
"77","ficbmkx","16ji8","0.03062","-1.42898","44i","0.64896","1na0","-0.21507","1.22124","-0.13679","12sl","-0.19963","-1.08622","8k00","257","-3.03761","q0sp2","0.09681","uk9z","-0.70251","g7","0kz","9t0","27s","-0.9756","nvh"
"78","bcltxaj","1d5wm","0.86761","1.03518","846","1.47626","lw9o","0.73834","1.40472","0.43803","4rj2","2.17293","2.14291","5p8b","7bt","0.05895","53d17","0.04893","x8w1","0.16519","n1","13c","8h9","9k9","0.54116","r64"
"79","ndobfql","w7t3y","0.57402","0.46635","2qa","0.14904","47b3","0.29373","0.17586","0.04087","y762","-0.76367","-0.34856","pi18","1l7"," ","k8at2","0.8781","28bm","1.63448",".",".","t02",".","1.23808","270"
"80","dlwacek","129df","1.11021","0.49964","8b6","0.155","22w7","0.16202","0.12525","-0.3045","0nj2","0.09506","0.56885","od11","w67","0.27291","v7g80","0.22929"," ","0.67582","4x","r9e","u11","6b0","0.65111","3x3"
"81","aorqivn","2q99l","0.71713","-1.55674"," ","2.36275","8250","1.34384","0.27382","0.77852","8483","0.10014","-0.60863","5c82","dy2","-0.39702","th8b8","-0.55492","67c3","0.86816","03","203","yi5","m3k","-0.38146","w2f"
"82","xbfygmt","ub01n","1.05547","0.46397","538","2.04248","h67q","0.4406","0.36749","0.12318","505s","0.12141","-0.02515","4k39"," ","2.24847","a5279","0.68316","7150","0.52476","38","935","ukr","l7z","0.76366","p1o"
"83","bpegzhq","88l2j","-1.31384","1.17228","8j3","1.35141","3t65","0.14642","-0.4146",".","10so","u","0.04026","9630","nh5","0.86582","x0p06","0.69918","8i1j","0.12369","6e","6c2","206","pw9","0.61396","n38"
"84","aoqhyzm","8l9gf","0.59508","1.26223","5g3","0.46022","0896","0.1754","0.28135","r",".","1.16219","0.81803","19fy","nu2","0.41889","q65y4"," ","5x18","0.19006","u6","5oh","1rk","92i","0.77886","655"
"85","lecawnr","k275u","1.02789","-1.74183","oq5","-0.2724","w7on","0.03454","0.08945","0.26752","u82x","-2.03004","-0.30078","28n5","9v5","-2.34895","qh0k9","0.08431","6jh7","-0.63637","jv","z1d","t28","oj9","0.98104","689"
"86","jzdihor"," ","-0.10013","-0.08802","l62","1.54727","tx74","-0.1105","-1.0873","-0.43396","e3s9","-0.53638","-0.84553","ao8e","il8","0.02354","b0hmp","0.27718","rsxj","-0.166","0h","623","3f9","876","-2.08646","6ys"
"87","lsbjgkm","wmh6f","1.50519","-1.18629","08q","0.23565","7yt3","-0.71967","-1.29993","-1.9771","w77g","-0.06674","-0.015"," ","j48","-0.14296","060id","-1.14541","78ri"," ","nm","h51","8c7","178","0.18395","e76"
"88","iqugkfb","75n41","-1.37696","-2.43008","vha","-0.74782","151l","-2.71734","-1.85809","-1.41727","6392",".","-0.41693","0w6e","kp3","-0.9646","s1k53"," ","26m1","m","85","ts9"," ","0zt","-1.98796","j14"
"89","mofwyzj","p10r8",".","-0.17206","xuy","-1.22716","6xl4","0.51883","2.18761","-0.64689","262u","0.00032","0.46227","jy37","i8s","-0.43687","nvs2p","-0.2869","g410","0.84931","0c","37d","75w","036","0.35011","3l1"
"90","ujvingp","ead3z","-0.34266","0.15561","5dc","-1.56111","2cx8","-0.7179","1.69098","-1.77474","l9o7","-1.04461","-0.29237","8i30","i3n","-0.4167","l2dvb","-0.30105","93xu","-0.10858","d","2ji","ou1","q60","-0.45049","85h"
"91","wtrlvqp"," ","-1.22077","-1.18244","2u4","-0.39961","21ax","-2.23589","-1.87284","-2.13553","gpt5","-1.70225","-2.46335","9z4f","9te","-2.30582","31idb","-1.91537","g","-1.98167","78","lzk","g6f","j2s","-1.51163","wu0"
"92","fnrbupw","354ju","0.57831","0.00834","ux5","-0.27889","f6y7","0.59609","-0.96049","0.7753","1r0n","-0.54074","-0.73615","h3jk","dl1","-0.03564","3o176","-0.11192","4d0a","1.2596","sr","sb6","az6","w92","0.25145","4y7"
"93","gycvoli","203f8","0.27607","0.19738","sr5","-0.21882","12ax","-1.28886","-0.14797","-0.23112","279y","-0.20096","-0.16447","7293","6hm","-0.16898","5ca05","0.05639","c541","-1.18728","1d","9cp","ymt","v8c","0.21604","0w2"
"94","uzktebf","8r6a9","0.2546","0.63224","u24","0.29488","fj4q","0.51669","0.68422","2.53626","a40v","1.37728","-0.00415","8a42","r07","-0.38522","qm3aj","0.90817","6m3x","1.34402","y5","1y5","435","7n0","0.8775","khc"
"95","sgpxkim","z852g","0.21152","0.284","2j2","-0.52486","o193","0.19598","-0.05061","0.1467","30p1","-0.17322","0.70983","9rm2","48n","-0.35118"," ","0.60958","tbpr","1.18679","06","c8p","cq1","67j"," ","m67"
"96","gstcmkq","mts65","-0.14054","1.53964","s1r","0.08341","j","1.0231","-0.08721","1.34457","i58w","1.22743","-0.08997","fy1h","2uh","1.63997","jp7v9","1.07377","195f","0.9163","76","bx0","67m","9y8","1.38748","z3m"
"97","hdqtwyc","947tn","0.89763","-1.46831","q9w","2.06678","3t42","1.10485","0.99742","2.83567","7hk3","0.14137","-0.27789","25x6","87n","-0.66585","zx13w","0.94595","r644","1.62517","j7","zah","ae7","cl5","1.26874"," "
"98","zfhwucv","w47ba","0.45237","a","0wt","-0.03719","hsd5","0.03898","1.1098","1.71255"," ","-0.2075","-1.07286","5235","22c","0.52215","844ab","-0.47965","bw28","0.40945","0n","ol7","86j","o57","0.93454","3gr"
"99","gkcxvoj","91y76","1.04688","-0.4663","qu0","-0.70884","0r03","-0.11142","-0.74166","-0.98706","u5g0","1.09645","-0.60491","mo28","et8","0.77715","ynvtz","-0.19489","5xtp","0.02297","9w","rn4","78d","8l0","-0.61404","u0s"
"100","aiukorf","0lt2d","-0.65004","-1.08138","1fs","-0.03532"," ","-0.68373","0.0807","-0.3028","8u03","-0.13217","-0.87759","2x1e","325","1.38112","pbq97","1.06","25od","-0.22706","a2","7fj"," ","w7u","-1.13088","mn0"
"101","qrovszy","o0p42","-1.10681","0.15668","62d","-0.06444","s6yj","-0.78777","0.53579","1.2382","w408","1.10055","-0.22128","41u5","2lt","-1.02453","ux5it","1.2475","e127","0.6289","q4","751"," ","yi2","0.57128","jb0"
"102","uqhkmaf","c"," ","0.39222","14m","1.13447","0572"," ","1.59192","0.70869","e1j5","0.48497","-0.59487","qtdc",".","0.77674","k30is","-0.0212","2674","-0.15348","p8","59i","941","t73","2.22562","mz1"
"103","rpvzuyw","1w57h","-0.36002","0.93323","evm","-0.88151","0nud","-1.70127","-0.25656","2.36022"," ","-1.05","0.25354","016r","8vh","1.1655","ig3p5","-1.73735","5t3n","-0.1478","7e","xr9","ch2","kmp","-0.90376","w64"
"104","eijzvwx","9nmc6","-0.25591","f","x60","-0.37572","20oy","1.2069","-0.23829","0.26257","i405","0.45829","1.07141","7208","pi3","0.32486","zj389","-1.03409","5us8","-0.44888","95","nf3","2tx","86q","-0.62961","t93"
"105","giplojc","cd04z","-0.33205","-1.1734","n83","-0.88665","62qo","-1.64892","-0.42145","0.16025","b","-1.74684","-0.9629","94hw","7q7","-2.17665","02n03","0.13955","23a9","-1.14195","b9","655",".","0cw","-0.38213","1m7"
"106","hiudqxg","v2e5m","0.96144","1.1762","z","1.79965","ze5x","1.81059"," ","1.24862","ow5j","0.37626","0.30657","4r65","xnf","1.67455","31dkb","-0.42247","2q6b","m","u4","m5k","2h2","6u9","1.19231","516"
"107","nlixabm","5k310","0.15058","1.91862","v15","-2.60177"," ","-0.54212","-0.02401","0.14375","9b5a","0.15867","1.14611","fcxd","9y5","0.0703","05p14","-0.15674","06u7","1.19284","s7","rtu","68x","orl","0.89827","79w"
"108","jlkmywe","1c79l","-1.15138","-0.05742","6z4","-1.09033","ty2i","0.1903","-1.7908"," ","6u1n","-0.19689","-0.63352","w45p","z35","-1.70227","267f4","-0.08945","465j","-1.97225","p0","4kb","wr0","96r","-0.25377"," "
"109","ybqvicf","3n5r9","-1.81985","-1.13674"," ","0.51938","j52i","1.40672","0.34909","0.07726","n","0.63567","-0.24992","6y62","78g",".","w6t52","-0.7811","8a4y","0.35016","8y","m73","0c9","0q2","-0.76333","94j"
"110","ueatkrl","d3l8a","-1.33593","0.14372","q6c","0.17711","52yx","-1.02699","-1.85594","-1.46209","9z6v","0.01092","-1.88521","47wm","uv3","-0.11587","88qym","-0.60512","8h66","-1.38396","79","971","j49","az9","-1.38611","870"
"111","dlvtupo","cmv2w","m","-0.16675","lj3","-0.36357","52a7","-1.78968","0.75632","-1.18948","33t0","0.15098","0.35339","278o","sy7","0.21439","hs80a","-0.5827","38c2","-0.50418","cd","8r0","7z6","c22","-1.30202","zf3"
"112","vdkhenl","8k651",".","-0.3796","7ts","0.40169","1p32","0.02867","-0.99654"," "," ",".","y","746l","z8f","-0.82645","ladgh","-0.57117","xof9","-5e-04","t4","o6r","pzg","58j","-0.61736","qkp"
