idName,gender,InvalsiTot,WechslerTot,respAcc,OpennessTot,AgreabTot
lbghprew,M,7,72,26,13,11
lbiqwsan,F,9,78,25,30,29
lcsrehoi,F,11,95,33,26,28
ldyohxvz,M,1,65,24,32,19
lfdtusbq,M,8,67,23,25,25
lgfinkbt,M,1,92,35,28,21
lghvnwuy,f,1,67,22,17,16
lgwphmvn,F,12,99,27,17,19
lgzvqmho,F,0,80,27,25,18
lhuqybko,M,3,102,31,12,13
lipogfxb,M,3,78,26,8,9
ljawqrou,M,12,86,31,22,20
ljduvywo,F,5,117,37,40,37
ljhdfpyb,F,2,123,33,32,28
lnytiohf,F,6,73,33,37,30
locgbknr,F,11,85,24,21,19
lofujnxm,F,4,101,32,38,35
logbsxej,F,9,111,34,29,38
loyfbqrn,M,6,98,34,12,14
lparfkoh,F,0,85,26,37,28
lpgfxina,F,6,83,32,10,12
lpseayig,M,9,63,23,19,20
lqptofiz,M,2,88,32,21,28
luxpgmqc,F,7,67,20,21,18
lvobshje,F,1,85,34,27,28
lvwyatzf,M,4,87,29,8,9
lwmukzoy,M,6,108,26,19,11
lwodxrhu, ,1,72,21,17,8
lxjwczko,F,10,111,31,18,12
mbjxfdyt,M,5,100,28,0,0
meayxldb,F,3,96,30,18,22
mehdyija,F,8,132,36,36,35
mevcbhoj,F,10,117,36,34,32
mgnyeodj,F,10,79,30,26,25
mgvlopyx,F,8,74,24,32,20
mhjebsvo,M,1,99,31,27,28
mkbhragx,M,2,73.1,27,26,23
mkcgospr,F,10,94,29,26,29
mkvbtqfd,F,1,89,26,17,18
mldpuixc,F,12,100,33,34,31
mlfcwjye,M,8,101,32,38,36
mnyrelzd,F,6,102,28,33,31
mokfvgie,M,4,71,30,17,16
mouhcnxv,f,4,68,25,16,14
mouhfcqt,f,10,57,21,30,18
mpjovdbz,M,1,93,36,35,28
mpylxtkj,F,3,89,32,27,20
mquwkzdo,F,0,69,27,12,14
mrzsuoae,F,2,91,36,12,12
mtyexzqs,F,1,73,27,19,18
mulobxpr,F,6,78,24,8,8
mvleoxau,F,4,64,17,24,14
mxqbuchp,m,5,86,30,31,26
mybcdhui,F,5,123,37,15,20
naokhzvg,F,6,77,21,22,28
narvwxhu,F,4,78,23,15,11
nbkiwvmr,F,2,82,23,13,9
nbvxukmq,M,5,86,25,21,25
nbzplvmx,M,12,111,33,19,19
nemdzcgb,F,4,123,35,16,12
nfirqzea,M,5,89,31,31,29
nfolyzka,F,5,94,34,31,15
ngdxsiuj,F,8,106,35,18,23
ngqiswob,F,6,96,33,12,10
ngsciexj,F,6,34.6,19,8,13
nhtadzoy,M,7,126,34,34,29
nhxzufjt,F,1,111,33,20,24
nhyfpiju,F,2,75,25,34,28
niulmray,M,8,107,33,23,17
nmbopqzh,F,8,65,28,11,10
nmjuwzeo,M,0,94,29,20,21
nmwpdxko,F,3,74,16,15,13
npakutcj,M,6,102,30,21,24
nplwtdoe,M,2,59,16,13,10
npmvkjer,F,2,73,19,34,27
nqawpjdl,M,0,74,26,17,18
nqhfswmj,M,3,100,32,15,17
nsbjcfka,F,5,78,28,9,10
nufjqkyi,M,4,93,32,16,18
nuvwzcpk,F,6,69,21,20,19
nwyhobsj,M,10,94,29,27,31
nyusoleq,M,8,127,34,19,19
nzkwudtr,M,3,109,30,15,15
obguplxw,M,7,93,27,13,12
ocnhybgp,F,4,66,26,17,14
oduztkwi,M,3,81,21,17,17
ohabqfvw,M,6,64,22,10,12
ohfkesnd,F,8,98,27,34,23
ohigndcx,M,7,101,26,32,26
ohlqndyr,M,1,55,17,11,14
ohutrsib,F,2,95,25,28,27
ojghwusy,M,0,91,28,16,13
okfutmhg,F,3,83,32,12,12
olgsfyaw,F,10,100,33,17,18
olwtvbnk,M,6,116,33,19,16
omjsdxnh,F,6,73,27,29,23
omtgcxbf,M,3,66.6,28,10,12
onpfgkde,M,10,107,29,17,17
onwplgtv,M,2,123,33,32,35
oqjsxrcb,M,3,81,22,24,22
oqsiwkzx,M,12,66,23,15,12
orsdkjza,M,6,113,36,28,27
oruzckql,M,4,86,29,22,18
ounfksgc,M,6,113,36,31,28
ourviygf,M,3,59,24,19,12
ouvahkct,M,9,97,33,16,11
ouvdmijh,F,4,106,30,12,21
ovcgbziu,F,3,99,32,27,23
owlvhguf,M,6,90,34,30,25
ownifjmx,F,7,93,29,10,12
ozilubne,M,5,73,25,15,15
ozpktibm,F,8,79,29,13,11
paibsnuy,F,8,90,29,25,15
pbmfanow,F,6,104,30,33,30
pdlvcxuo,M,9,122,31,40,40
pdnmxcor,M,2,61,17,15,12
peoixgvy,M,5,97,26,9,9
pgirtxcm,M,8,70,27,9,18
pgrxmjwi,M,2,88,29,11,14
phelgywq,M,5,84,30,29,18
poiatlvc,M,1,101,27,23,31
porucvis,F,8,126,32,17,15
pqrskxnc,M,7,90,29,35,35
psbjrlxy,M,3,62,23,21,11
psxlzjyv,F,5,96,28,30,31
ptdowaqs,M,12,89,27,25,14
pvhysfam,F,3,84,28,30,23
pvrusqte,M,11,103,32,25,30
pxbmvtnc,F,2,91,29,22,19
pxibwzmv,M,9,62,13,32,22
pxnkcjgz,F,2,107,32,39,39
pxyalqgc,F,2,113,32,16,19
pxytjmws,M,12,111,31,17,14
pzkitaev,F,7,108,30,27,31
qbnskwcz,M,1,74,20,16,14
qdjlwbyc,M,12,108,33,18,19
qehsoiyr,M,2,86,32,21,21
qgluakyt,M,8,85,27,12,12
qhutynsr,M,5,91,27,37,33
qhvnujow,F,10,104,29,33,22
qkamxipd,M,6,83,23,21,20
qlcinyzr,M,4,88,29,25,23
qmdacylp,M,10,89,32,20,21
qmofjatv,M,3,82,31,31,36
qnszahvj,F,2,88,33,24,20
qntvmaob,F,5,96,25,20,21
qnxzycgj,F,12,115,35,27,23
qpmwdyvh,M,0,101,34,37,36
qrfijbnu,F,6,104,34,25,23
qropyauh,M,6,86,32,13,9
quptkfir,F,7,91,30,11,12
qupwtdka,M,6,102,33,18,16
qwabtvym,F,9,100,29,17,16
qwbzgsft,M,3,67,30,13,14
qwgiylhm,M,5,103,33,21,16
qxyldtip,M,1,59,22,15,14
qyextihm,M,3,87,32,14,15
qzemsywg,F,5,115,38,39,40
qzgxpidf,F,3,75,27,18,17
qznejvgc,M,1,96,38,11,10
qzveofgh,f,6,97,26,16,10
razqjole,F,4,63,26,17,14
rbhpvxzy,F,8,86,29,9,8
rckeqztw,f,2,74,27,40,37
rclzwpie,F,2,109,25,26,32
remfiowv,M,6,97,30,24,21
rgavioyd,M,4,73,20,30,23
rghmxweu,F,5,80,30,22,26
rgjzxsin,M,1,95,31,27,18
rjhfczei,M,8,87,30,21,18
rjyswbgq,F,0,103,32,0,0
rlmqzvow,F,8,98,34,19,18
rluwoink,F,9,91,26,16,18
romnvxul,M,6,74,28,24,12
rqlvwbij,M,5,79,24,31,34
rqmajies,M,0,81,33,25,19
rqshfwdt,F,7,112,35,28,20
rqzovmiw,M,11,94,29,24,18
rsmeajhn,F,11,67,26,16,14
rsptkajn,M,3,76,30,19,14
rsualmhk,F,12,128,33,25,24
rtgfhiyz,M,5,95,32,31,27
rtpdcuqh,M,10,108,34,18,18
rufwbdet,F,8,80,27,11,16
rvzgfhkp,F,5,98,34,21,19
rwejgxzv,M,1,60,24,28,21
rxctkmzb,M,8,95,31,22,20
ryaituln,F,6,96,25,26,21
rygctflu,F,6,80,28,23,20
ryspengw,M,6,104,34,33,37
rzjvthcl,F,9,113,36,30,28
saijzcnm,F,10,101,37,35,37
salzegvr,F,5,94,30,23,26
scgevdql,M,6,75,23,21,19
scwaridq,M,0,92,28,34,31
sdqoagxm,M,11,104,32,13,12
sfjckhdt,F,8,89,29,20,19
sfribecm,F,6,81,29,16,18
shcwjvku,M,4,104,31,11,11
skfcvxpa,M,1,74,26,12,9
sltcegjx,F,7,86,26,16,10
smfnujlp,F,10,100,28,24,30
smvnicjz,M,4,86,21,21,30
soirefzq,F,6,86,28,33,29
soyigjlp,F,2,90,33,26,25
srelfkha,M,3,97,32,23,16
swemlpxj,M,7,85,23,21,26
swpzlbme,F,10,73,33,24,25
sygluftz,M,3,72,27,32,21
tasgdlvm,F,4,54,13,8,13
tbplmciz,M,2,102,30,13,12
tcoibnrj, ,8,77,28,9,15
tgfdwmuh,M,8,91,30,24,23
tgljvyxh,F,5,61,28,9,11
thgrmkbp,F,10,115,33,29,26
thmwnulc,F,6,112,33,24,15
tieyqckm,F,2,85,32,21,22
tivxpkof,F,5,125,35,15,9
tjasoxul,F,11,101,30,14,12
tmnsuwpg,F,5,70,21,18,16
tmphxdkn,m,1,103,32,35,29
tnedghfy,M,11,142,37,30,34
tnprxoig,F,8,106,27,33,18
tnsdchub,M,7,92,30,33,30
tnusgclw,M,7,83,23,26,34
tnyswvpx,F,7,80,30,23,16
trglzqji,F,5,79,21,19,14
tufowevg,M,7,119,33,34,27
tvkfeczi,M,4,62,22,13,13
tvoadfqg,M,6,87.8,30,23,17
twjveapb,F,8,95,30,36,31
twxojzny,F,8,78,27,28,27
txjzslen,F,10,117,38,38,36
tzkuabif,F,3,75,24,27,26
uaevptmh,F,4,56,14,24,30
uapqrbis,F,7,126,35,20,26
ubcmlyzf,F,6,85,29,19,14
ubenolai,F,8,77,25,14,12
ubxsamfk,M,7,83,25,32,31
uekypida,F,3,101,32,34,30
ufdlowec,M,11,79,26,9,9
ufxalnyz,F,1,80,22,19,15
ugmrvidp,F,3,92,30,15,14
ugtivckn, ,11,96,33,38,24
uhxbnqlg,F,5,72,25,24,31
uisfavjb,M,8,124,37,29,29
uiybozmv,F,6,85,27,14,13
ujkfqmch,M,2,80,32,11,17
ujxistrf,M,9,97,32,15,12
ujyvcexb,M,3,100,32,37,33
ukmwfiyv,F,8,132,38,17,19
ulsjogna,M,7,80,24,22,14
umcefobq,M,2,98,31,13,10
upkneqsi,M,6,114,29,18,15
upodtygj,F,6,65,21,26,29
uqoxkbcr,F,6,106,34,26,24
uskcdbtz,M,2,88,30,13,11
uwrfevjq,F,11,48,18,15,10
uyscwhja,F,2,97,34,24,23
valwrxmp,F,4,85,21,25,24
vckgsqmi,F,8,119,33,9,10
vczlkibj,F,8,75,25,21,16
vdebtarf,F,7,96,32,37,39
vdkazuhy,F,3,77,23,13,13
vglinqhf,F,4,71,25,30,37
vhaowirj,M,6,83,29,21,17
vhrwgkyx,M,4,80,26,8,10
vidsqcxy,M,4,110,29,29,32
vidyqnrb,m,4,67,22,36,31
vimjdnrz,M,1,88,34,21,24
vjcpfuyl,M,2,119,34,15,15
vkloxzga,M,1,90,36,20,25
vlexbauc,F,4,92,29,17,15
vlmybsik,M,6,85,30,26,27
vneagpfw,M,5,96,25,15,15
vnolidjc,F,8,102,28,22,22
vnquxmia,M,0,56,13,11,12
voiatryq,M,8,91,27,23,26
vokyubfp,F,7,91,33,14,19
voqesmnd,F,3,65,27,17,16
vrbcyjpd,M,8,75,25,12,12
vrkamseu,F,8,90,31,15,13
vrnxubec,F,9,86,23,18,19
vslihmgw,F,12,61,26,28,24
vsmdzten,M,5,81,30,36,32
vtsnwglr,F,3,77,28,27,25
vumltfyi,F,6,94,23,28,16
vwgkxqyb,M,1,79,28,14,12
vwkpsjya,F,11,121,38,22,23
vxqzrlgf,M,4,56,28,29,28
vypwetsk,M,6,73,31,33,32
vzmkpnja,M,3,65,18,15,14
vzpfcuqd, ,4,99,28,16,10
wbkhmezd,F,11,112,33,20,12
wboixgqh,m,3,73.1,30,22,14
wbxchfyu,M,9,119,37,20,23
wdbjalei,F,7,105,34,20,15
weqvxsua,M,10,92,28,15,11
wfntzbgr,M,10,103,35,36,31
wfzxilst,F,0,94,29,26,31
wkzjhcsg,F,10,91,29,39,32
wmrlabkv,F,4,84,32,28,25
wmvneqli,M,11,77.14,29,0,0
wmyzualo,F,11,101,31,14,16
wnuaflks,F,6,86,32,19,19
wpncdhzg, ,4,118,34,15,15
wqoasgni,M,9,112,33,23,20
wselraxz,F,5,87,32,23,24
wuxobnlj,F,10,91,30,21,15
wuxtlyoq,F,8,82,21,22,19
xafyqkmd,m,3,95,30,36,34
xahktjsg,F,2,128,36,11,16
xbchjlyz,F,10,89,24,19,20
xbiyfwoq,F,9,75,26,14,14
xbkhdnwq,F,6,103,37,22,23
xdeockru,F,9,78,20,37,34
xdjcbuhl,M,2,100,30,10,11
xdtvgmyz,F,5,100,33,33,24
xemtgiqz,M,6,98,33,20,20
xeqbclzu,M,9,88,27,21,15
xfzraymq,F,5,92,32,23,16
xglhcqze,F,5,72,19,17,21
xhivsydl,M,2,90,24,28,22
xhmalegz,M,7,110,33,13,15
xigfncok,F,0,53,19,15,15
xiupjkhf,M,12,85,19,22,28
xmuhvlra,F,12,119,31,21,27
xmzdkopi,M,4,105,26,18,19
xnaokhuq,M,5,77,25,10,15
xomeiyaw,M,1,118,31,33,31
xpbykieo,F,6,85,27,21,20
xsrufypg,M,3,83.11,29,24,22
xvpdhocw,F,9,98,33,28,23
xwnvedua,F,2,92,30,34,25
xycjztwh,M,9,105,37,35,28
xyeuisvj,F,3,75,29,17,21
yaqkouip,F,3,84,30,28,28
ybjqtohk,M,3,92,31,12,9
ycbvihzn,F,8,88,28,10,11
ycslkqtn,F,6,50,16,9,10
yhpmbwgi,M,11,83,24,12,13
yialbqsn,F,8,79,31,21,25
ykgnloxb,F,9,78,31,20,20
ypjitgqx,F,6,82,26,18,17
yptkvsfj,F,7,96,32,19,13
yqfcdzgh,F,5,94,28,25,24
yqosiher,M,10,98,30,27,27
yscxbirv,M,8,75.6,28,21,28
ysjoazvr,M,4,84,32,29,24
yuwnkisj,F,6,87,26,14,15
yvlbxuwk,F,4,80,34,23,18
yvqcsrzg,F,12,126,36,16,19
yvtwpkdj,M,6,96,29,11,12
yvxstlid,M,9,97,31,20,17
ywvptnru,F,3,77,27,24,24
ywxsfbhr,M,8,93,25,30,26
yznlfhmu,M,1,91,33,27,22
zakglmti,M,3,73,30,9,9
zapxnvju,F,7,99,32,35,38
zckolaxw,M,10,126,34,28,26
zcremqjb,M,3,95,29,29,20
zcsbqovj,F,9,106,28,25,29
zdiwjflu,F,6,89,29,14,17
zdysilmr,F,10,94,31,37,37
zebaripn,M,5,86,31,8,12
zebmashc,M,10,90,21,23,24
zegorxid,F,10,74,33,29,26
zekmfhao,f,6,96,33,10,12
zesqhpnk,F,10,90,30,23,24
zewlpivh,F,2,88.11,30,20,23
zfhnmxjv,F,5,66,28,13,13
zfolmqbe,F,5,101,31,12,15
zgfkqbln,M,1,74,24,28,25
zghmbqit,M,8,114,37,35,33
zicfvgaj,F,4,102,30,30,32
ziquvdtj,F,6,81,26,25,26
zivalpwr,F,7,107,31,22,17
zjecouqv,M,5,52,24,11,10
zkbsorwf,M,5,84,31,28,24
zlxevtnd,F,5,82,28,12,13
zmdovcpa,M,8,104,40,8,19
zmjfulxb,M,4,64,20,13,12
zmvxwfot,F,6,86,24,16,21
znfytksb,F,3,104,31,13,11
znoawsie,M,5,67,24,18,17
zorfjvem,f,5,105,33,22,16
zrhfxnvt,M,6,89,25,31,22
zunftqgi,M,12,86,27,30,31
zuxmcahy,F,9,105,31,29,22
zvbwamnj,F,12,67,18,13,9
zwriucha,M,6,107,35,32,31
zwvtsfej,F,6,85,32,23,16
zykbqhic,M,5,121,32,28,24
