"","id","age","group","T0","T1","T2"
"90","Subj_90",7.3,1,40,47,35
"91","Subj_91",9.9,1,44,45,47
"92","Subj_92",7.4,1,18,30,28
"93","Subj_93",7.4,1,24,35,37
"94","Subj_94",9.8,1,25,27,31
"95","Subj_95",8.5,1,39,42,41
"96","Subj_96",7.5,1,34,37,35
"97","Subj_97",8,1,32,33,32
"98","Subj_98",9,1,39,46,49
"99","Subj_99",7.9,1,34,41,36
"100","Subj_100",8.1,1,41,40,42
"101","Subj_101",7.4,1,36,42,42
"102","Subj_102",9,1,28,24,22
"103","Subj_103",7.6,1,23,24,25
"104","Subj_104",9.9,1,42,38,43
"105","Subj_105",9.7,1,25,25,32
"106","Subj_106",9.8,1,38,43,44
"107","Subj_107",9.2,1,17,19,16
"108","Subj_108",8.1,1,48,48,48
"109","Subj_109",9.3,1,33,33,29
"110","Subj_110",7,1,42,44,47
"111","Subj_111",9.8,1,26,33,36
"112","Subj_112",10,1,25,27,34
"113","Subj_113",8.1,1,35,37,37
"114","Subj_114",9.2,1,35,42,35
"115","Subj_115",9.4,1,16,22,12
"116","Subj_116",9.1,1,39,46,48
"117","Subj_117",8.4,1,20,24,21
"118","Subj_118",8.5,1,38,45,39
"119","Subj_119",7.9,1,35,44,38
"120","Subj_120",9.1,1,36,40,36
"121","Subj_121",9.5,1,26,35,40
"122","Subj_122",8.3,1,37,46,38
"123","Subj_123",8.5,1,19,24,30
"124","Subj_124",9,1,21,25,24
"125","Subj_125",7.4,1,12,24,18
"126","Subj_126",8,1,43,48,47
"127","Subj_127",8.2,1,44,45,50
"128","Subj_128",7.3,1,31,39,38
"129","Subj_129",9.8,1,19,25,23
"130","Subj_130",9.5,1,30,39,35
"131","Subj_131",9.6,1,45,50,43
"132","Subj_132",9.8,1,30,33,34
"133","Subj_133",7.2,1,33,42,36
"134","Subj_134",8.1,1,21,23,30
"135","Subj_135",8.6,1,44,47,38
"136","Subj_136",7.3,1,19,26,22
"137","Subj_137",9.4,1,18,27,26
"138","Subj_138",9.2,1,17,30,23
"139","Subj_139",7.2,1,19,28,25
"140","Subj_140",8.4,1,27,32,26
"141","Subj_141",9.8,1,40,48,45
"142","Subj_142",7.1,1,30,37,43
"143","Subj_143",7.9,1,29,32,36
"144","Subj_144",8.5,1,22,26,18
"145","Subj_145",8.8,1,22,29,17
"146","Subj_146",7.8,1,25,30,27
"147","Subj_147",8.3,1,20,23,18
"148","Subj_148",8.1,1,26,32,29
"149","Subj_149",9.8,1,39,40,46
"150","Subj_150",7.4,1,15,18,12
